,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
5075,355500,Leadwerks Game Launcher,2015-08-24,4,0,0,1,0,0,0,0,0.0,75000.0,0.0,42,0.7142857142857143,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5119,356420,Interloper,2015-05-21,4,0,1,0,0,20,319,326,0.0,75000.0,0.0,328,0.8658536585365854,8,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5154,357370,Return NULL - Episode 1,2015-04-02,4,0,1,0,0,0,10,10,0.0,35000.0,0.0,88,0.6477272727272727,7,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5166,357830,Attack of the Labyrinth +,2015-03-30,4,0,1,0,0,16,0,0,0.0,10000.0,0.0,41,0.6585365853658537,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5189,358300,Major Stryker,2014-05-05,5,0,1,0,0,0,0,0,0.0,10000.0,0.0,18,0.7222222222222222,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5322,362060,Construct: Embers of Life,2017-08-07,2,0,0,1,0,0,0,0,0.0,10000.0,0.0,21,0.42857142857142855,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5428,364880,Genesis of Drones,2016-05-24,3,0,1,0,0,0,0,0,0.0,10000.0,0.0,26,0.6153846153846154,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5469,365510,Flip,2016-02-15,3,1,0,0,0,25,0,0,0.0,10000.0,0.0,16,0.9375,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5531,366960,SECTOR,2015-06-29,4,0,0,1,0,0,0,0,0.0,35000.0,0.0,106,0.20754716981132076,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5676,370590,Gem Wars: Attack of the Jiblets,2015-12-14,4,1,0,0,0,47,0,0,0.0,35000.0,0.0,60,0.6166666666666667,3,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
