,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
15036,652180,VR Guest,2017-06-20,2,0,0,1,0,0,0,0,7.19,10000.0,71900.0,3,0.6666666666666666,5,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15037,652190,Emily Wants to Play Too,2017-12-13,2,1,0,0,0,14,0,0,5.79,10000.0,57900.0,105,0.8095238095238095,9,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15038,652200,Chromaestro,2017-06-15,2,0,0,1,0,17,0,0,0.79,10000.0,7900.0,3,1.0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15039,652230,CrazyCar,2017-07-27,2,0,0,1,0,4,0,0,4.79,10000.0,47900.0,62,0.3064516129032258,7,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15040,652270,Dark and Bright,2017-11-29,2,0,0,0,1,28,0,0,2.99,10000.0,29900.000000000004,8,0.875,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
15041,652280,Unimersiv,2017-07-27,2,0,0,1,0,0,0,0,2.89,10000.0,28900.0,3,0.3333333333333333,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15042,652330,HereAfter,2017-10-26,2,0,0,0,1,0,0,0,0.0,10000.0,0.0,29,0.8620689655172413,5,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15043,652340,Flagsplosion,2017-06-28,2,0,0,1,0,45,0,0,2.09,10000.0,20900.0,32,0.96875,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15044,652360,BFF or Die,2018-09-13,1,0,0,0,1,40,0,0,9.99,10000.0,99900.0,21,0.8571428571428571,19,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
15045,652390,Mr Rabbit's Alphabet Forest Adventure,2018-07-17,1,0,0,1,0,0,0,0,3.99,10000.0,39900.0,14,0.7857142857142857,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15046,652410,Brigand: Oaxaca,2017-07-11,2,0,0,1,0,50,0,0,4.79,10000.0,47900.0,53,0.9056603773584906,13,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
15047,652460,Fragmentum,2018-05-01,1,0,1,0,0,7,0,0,7.19,10000.0,71900.0,5,1.0,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15048,652470,Hex Tunnel,2017-07-04,2,0,0,1,0,0,0,0,3.99,10000.0,39900.0,5,0.2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15049,652480,Killbox,2017-08-24,2,0,0,1,0,0,0,0,0.0,10000.0,0.0,40,0.625,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15050,652510,ESCAPE Room: Reality,2017-06-20,2,0,0,1,0,26,0,0,6.19,10000.0,61900.00000000001,7,1.0,10,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
15051,652520,MarionetteAI,2017-11-20,2,0,0,0,1,42,0,0,14.49,10000.0,144900.0,4,1.0,4,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15052,652530,Potentia,2017-07-04,2,0,0,1,0,4,0,0,0.79,10000.0,7900.0,10,0.9,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15053,652540,Mocove Arts VR,2017-06-21,2,0,0,1,0,0,0,0,3.99,10000.0,39900.0,6,0.5,6,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15054,652550,Vickinachi,2017-07-18,2,0,0,1,0,26,0,0,0.79,35000.0,27650.0,160,0.1625,8,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15055,652560,Beached,2017-06-28,2,0,0,1,0,13,0,0,1.59,10000.0,15900.0,5,0.6,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15056,652570,Mystika 3 : Awakening of the dragons,2017-06-23,2,0,0,1,0,10,0,0,3.99,10000.0,39900.0,28,0.9285714285714286,6,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15057,652600,Descent - Silence of Mind,2017-08-01,2,0,0,1,0,0,0,0,2.79,10000.0,27900.0,32,0.84375,6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
15058,652610,Stick Nightmare,2017-07-15,2,0,0,1,0,0,0,0,0.79,10000.0,7900.0,7,0.8571428571428571,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
15059,652660,ESport Manager,2018-06-18,1,0,0,1,0,0,0,0,7.19,10000.0,71900.0,56,0.5,18,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15060,652700,Equivoque,2017-06-27,2,0,0,1,0,0,0,0,1.59,10000.0,15900.0,22,0.9090909090909091,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15061,652750,Polygon Hero,2017-07-01,2,0,0,1,0,0,0,0,0.0,10000.0,0.0,20,0.6,5,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15062,652760,Watchlist,2017-07-06,2,0,0,1,0,12,0,0,1.59,10000.0,15900.0,7,0.8571428571428571,3,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15063,652800,Sojourner,2017-07-17,2,0,0,1,0,0,0,0,3.99,10000.0,39900.0,15,0.9333333333333333,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15064,652810,Grabity,2018-05-30,1,0,1,0,0,15,0,0,7.19,10000.0,71900.0,29,1.0,11,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15065,652830,Lost Legends: The Pharaoh's Tomb,2017-06-30,2,0,0,1,0,0,0,0,2.09,10000.0,20900.0,11,0.5454545454545454,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15066,652880,Samsara,2018-02-06,1,1,0,0,0,36,0,0,11.99,10000.0,119900.0,21,0.9523809523809523,4,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15067,652890,Vanguard Knights,2019-01-09,0,1,0,0,0,0,0,0,7.19,10000.0,71900.0,8,0.875,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15068,652910,Delay,2017-06-12,2,0,0,1,0,0,0,0,1.59,10000.0,15900.0,22,0.8181818181818182,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15069,652950,Maggie's Apartment,2017-08-01,2,0,0,1,0,0,99,99,6.99,35000.0,244650.0,94,0.9680851063829787,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15070,652980,Loading Screen Simulator,2017-07-13,2,0,0,1,0,19,26,42,0.0,350000.0,0.0,6719,0.8606935555886293,16,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
15071,652990,Eternal Maze,2017-09-11,2,0,0,0,1,3,0,0,0.79,10000.0,7900.0,6,1.0,5,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15072,653050,Undertaker's,2017-08-02,2,0,0,1,0,7,0,0,3.99,10000.0,39900.0,16,0.5,8,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15073,653080,Inflatality,2017-10-26,2,0,0,0,1,5,0,0,7.49,10000.0,74900.0,6,0.8333333333333334,6,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15074,653100,Puzzle Bloc Invasion,2017-12-15,2,1,0,0,0,59,0,0,2.24,10000.0,22400.000000000004,1,1.0,3,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
